beta,temp,M,Z,U,S,F
0.005,200.0,28,28.01500851254591,-0.10720704003982647,3.332204349673719,-666.5480769747836
0.01,100.0,28,28.030034072616036,-0.10727132919462495,3.3322038674607524,-333.3276580752699
0.02,50.0,28,28.060136470242178,-0.1074002268844882,3.3322019336402002,-166.7174969088945
0.05,20.0,28,28.15085632586849,-0.10778948593180222,3.3321882999283274,-66.75155548449835
0.1,10.0,28,28.303448097973437,-0.10844687734030718,3.3321389504109487,-33.429836381449796
0.2,5.0,28,28.613978038140807,-0.1097945592597702,3.331936429170429,-16.769476705111916
0.5,2.0,28,29.591015698597218,-0.11411190097146241,3.3304148410756036,-6.774941583122669
1.0,1.0,28,31.39092957161912,-0.12229639328674324,3.3242225907514262,-3.4465189840381694
2.0,0.5,28,35.824110227773566,-0.14291565879337242,3.292789819190266,-1.7893105683885053
5.0,0.2,28,63.07442577267889,-0.24369516675374694,2.9258395568355176,-0.8288630781208505
10.0,0.1,28,356.1214238402502,-0.4314438861942633,1.5608328889584002,-0.5875271750901033
20.0,0.05,28,44205.07071329438,-0.498623476105334,0.7241252613992767,-0.5348297391752979
50.0,0.02,28,144009803108.37268,-0.49999998831534825,0.6931477955793333,-0.5138629442269349
0.005,200.0,60,60.020008903191254,-0.0667037955290171,4.094344469371641,-818.9355976698571
0.01,100.0,60,60.040035635278805,-0.06674099238573432,4.094344190366858,-409.50116002907146
0.02,50.0,60,60.08014272154446,-0.06681559058992385,4.094343071166301,-204.78396914890493
0.05,20.0,60,60.200895408721486,-0.0670410303010185,4.094335174588137,-81.95374452206376
0.1,10.0,60,60.403604510861086,-0.06742230840477632,4.094306549651808,-41.01048780492285
0.2,5.0,60,60.81460434226119,-0.06820612785747755,4.094188737554221,-20.539149815628587
0.5,2.0,60,62.09494237337116,-0.0707373997582395,4.0932958424806865,-8.257329084719613
1.0,1.0,60,64.4067186115904,-0.07562473265249958,4.089593221283134,-4.165217953935633
2.0,0.5,60,69.88793291314506,-0.08848910698921693,4.069914786783977,-2.1234465003812057
5.0,0.2,60,100.48621605010302,-0.16460019894163744,3.787019569654192,-0.9220041128724759
10.0,0.1,60,399.86023795781165,-0.38766857587925707,2.114429322153754,-0.5991115080946324
20.0,0.05,60,44264.8545839322,-0.4979922440432913,0.7381014100487087,-0.5348973145457268
50.0,0.02,60,144009803261.03613,-0.4999999878184307,0.6931478214853006,-0.5138629442481367
0.005,200.0,110,110.02500915319959,-0.04547750047956177,4.700480308386752,-940.1415391778299
0.01,100.0,110,110.05003663534548,-0.045500498993622844,4.700480135879757,-470.0935140869694
0.02,50.0,110,110.10014672207785,-0.045546626848154824,4.700479443816377,-235.069518817667
0.05,20.0,110,110.2509204170569,-0.04568606352089909,4.700474559570093,-94.05517725492277
0.1,10.0,110,110.50370457756111,-0.04592201205221725,4.700456844779404,-47.05049045984626
0.2,5.0,110,111.01500487612829,-0.04640757072249921,4.7003838570961864,-23.54832685620343
0.5,2.0,110,112.59745072757957,-0.04798052614694666,4.699828812301044,-9.447638150749036
1.0,1.0,110,115.4167856129282,-0.05104060197802967,4.697509197436205,-4.748549799414235
