beta,temp,M,Z,U,S,F
0.005,200.0,18,153.4038513851962,-0.528792904702678,5.030430030908006,-1006.614799086304
0.01,100.0,18,153.81119889223535,-0.5319584104772613,5.030406284959836,-503.5725869064609
0.02,50.0,18,154.6365057332419,-0.5383229180081113,5.030310780146761,-252.05386192534613
0.05,20.0,18,157.19960032524077,-0.5576837327499379,5.029632150894077,-101.15032675063148
0.1,10.0,18,161.7779564472395,-0.5908362704885158,5.027141128783832,-50.862247558326835
0.2,5.0,18,172.21611588549766,-0.6603790608802544,5.016674363623714,-25.743750878998828
0.5,2.0,18,217.1956102132896,-0.891671095108364,4.934962829496982,-10.761596754102326
1.0,1.0,18,376.7269504067363,-1.3121170744420092,4.619403581117999,-5.931520655560008
2.0,0.5,18,2008.3630650196956,-1.9739480052494254,3.6571792632414994,-3.802537636870175
5.0,0.2,18,3016335.370223892,-2.742830787683932,1.205399260532231,-2.983910639790378
10.0,0.1,18,5258125648735.758,-2.920843738167457,0.08235835695468707,-2.9290795738629254
20.0,0.05,18,2.7007680754403104e+25,-2.9278866071343894,0.0004313871043372885,-2.9279081764896064
50.0,0.02,18,3.790363032613493e+63,-2.927906453201318,3.529495018909232e-11,-2.927906453202024
0.005,200.0,46,1031.9443017932379,0.5894107014898244,6.94214702696188,-1387.8399946908862
0.01,100.0,46,1028.9175679310588,0.585526686005965,6.942117890574684,-693.6262623714624
0.02,50.0,46,1022.9504952954804,0.5777133414924295,6.942000639915037,-346.5223186542594
0.05,20.0,46,1005.7317790268773,0.5539061950081883,6.941166003614682,-138.26941387728544
0.1,10.0,46,979.254985705762,0.5129741860318934,6.938089482487471,-68.86792063884282
0.2,5.0,46,934.2811493868944,0.42620583602911677,6.925018576612488,-34.198887047033324
0.5,2.0,46,858.8835329593462,0.12416038246099832,6.81771351957456,-13.511266656688122
1.0,1.0,46,938.9253148448677,-0.49916319720896396,6.345572741929647,-6.844735939138611
2.0,0.5,46,2856.7574083117124,-1.6334348164729457,4.690572854343243,-3.978721243644567
5.0,0.2,46,3145846.587599784,-2.735468997399932,1.2842486101395234,-2.992318719427837
10.0,0.1,46,5587755867972.389,-2.926758766008502,0.08401120766045937,-2.9351598867745476
20.0,0.05,46,3.0484399524386272e+25,-2.9339404343818694,0.0004486059732009259,-2.933962864680529
50.0,0.02,46,5.130445099358797e+63,-2.9339610655602373,3.946776918828407e-11,-2.933961065561027
0.005,200.0,92,4140.764381810288,2.16835663451104,8.339477466236797,-1665.7271366128482
0.01,100.0,92,4096.20973255169,2.158965440709193,8.339407024051797,-831.7817369644704
0.02,50.0,92,4009.0992018901316,2.140123961264475,8.33912433635839,-414.81609285665496
0.05,20.0,92,3762.998065126288,2.0831318982823612,8.337127871323604,-164.65942552818973
0.1,10.0,92,3398.942453148155,1.9866215768422086,8.329881776712787,-81.31219619028566
0.2,5.0,92,2814.1668369841514,1.788170086238983,8.300055541360871,-39.71210762056538
0.5,2.0,92,1807.2259583333719,1.1563017348226337,8.077699196302905,-14.999096657783177
