beta,temp,M,Z,U,S,F
0.005,200.0,18,153.56505859013734,-0.7385209259106912,5.030431707068678,-1006.8248623396463
0.01,100.0,18,154.13412283072267,-0.7410167541036621,5.030412983307547,-503.78231508485834
0.02,50.0,18,155.28442231503334,-0.7460447713584571,5.030337522645729,-252.2629209036449
0.05,20.0,18,158.83553475802856,-0.7614196687130167,5.029798310861049,-101.35738588593401
0.1,10.0,18,165.1080408427248,-0.7880116785369713,5.027798884749703,-51.066000526033996
0.2,5.0,18,179.1457985121455,-0.8447729318726643,5.019245404755036,-25.940999955647847
0.5,2.0,18,237.49882203495204,-1.0408670083062197,4.949729159456452,-10.940325327219124
1.0,1.0,18,438.28170504659056,-1.4123922595035998,4.670469606339502,-6.0828618658431015
2.0,0.5,18,2462.3036878792614,-1.9738936156552385,3.8610654178997383,-3.9044263246051076
5.0,0.2,18,2527584.8187745064,-2.5779412257411325,1.8530686589757879,-2.9485549575362904
10.0,0.1,18,2729155981383.933,-2.8550467601926988,0.08454591106905571,-2.8635013512996044
20.0,0.05,18,7.309551962619495e+24,-2.8625583650159347,5.691239838977529e-05,-2.8625612106358544
50.0,0.02,18,1.4445187384572385e+62,-2.8625610395749996,1.7444851687987122e-14,-2.862561039575
0.005,200.0,46,1037.0207194455113,-0.39074189506123036,6.942153478733513,-1388.8214376417636
0.01,100.0,46,1039.0521052072108,-0.3920399720185878,6.942143739502942,-694.6064139223128
0.02,50.0,46,1043.1472479619426,-0.39466255197039357,6.942104371333256,-347.4998811186332
0.05,20.0,46,1055.6985141261857,-0.40274520737963365,6.94182066514835,-139.23915851034664
0.1,10.0,46,1077.551407088627,-0.41695609220627283,6.940750921214223,-69.8244653043485
0.2,5.0,46,1125.155846015393,-0.44832664525264254,6.936011505785087,-35.12838417417808
0.5,2.0,46,1309.298865722238,-0.5692494996262599,6.892622306096394,-14.354494111819049
1.0,1.0,46,1866.9029135494604,-0.8703530990647764,6.661683041812276,-7.532036140877053
2.0,0.5,46,6528.279864019775,-1.6141157673614424,5.555667232328668,-4.391949383525776
5.0,0.2,46,3495176.489215167,-2.405669494253015,3.0385469587395293,-3.0133788860009205
10.0,0.1,46,2750069642486.332,-2.8493041816775286,0.1496055350515647,-2.8642647351826853
20.0,0.05,46,7.322772242508769e+24,-2.8626474305839222,8.259810912691994e-05,-2.862651560489379
50.0,0.02,46,1.4510536574008276e+62,-2.8626513143689993,2.7317394009112e-14,-2.862651314369
0.005,200.0,92,4188.384126580873,-0.11433772026956836,8.339498599952059,-1668.0140577106813
0.01,100.0,92,4190.78895576326,-0.11526390238084536,8.339491651098674,-834.0644290122483
0.02,50.0,92,4195.661360511042,-0.11713428656143814,8.339463575216156,-417.09031304736925
0.05,20.0,92,4210.7923172255205,-0.12289279097538565,8.339261468286391,-166.90812215670323
0.1,10.0,92,4237.805176753968,-0.13300327800003445,8.338500439408554,-83.51800767208556
0.2,5.0,92,4299.235614066687,-0.15531912700970968,8.335128696307251,-41.83096260854597
0.5,2.0,92,4559.899891280194,-0.24277591878277133,8.303667989209437,-16.850111897201646
1.0,1.0,92,5435.622001040115,-0.48231421487712134,8.118415021743655,-8.600729236620776
2.0,0.5,92,12918.203118321508,-1.2849509155604624,6.896490859014197,-4.733196345067561
5.0,0.2,92,4275427.662511625,-2.3023514577964512,3.7566374043816886,-3.053678938672789
10.0,0.1,92,2769594231396.8345,-2.84635651045063,0.18615683403090122,-2.86497219385372
20.0,0.05,92,7.372287962453382e+24,-2.8629834429676975,0.0001014731937125709,-2.862988516627383
50.0,0.02,92,1.475703485507024e+62,-2.862988211620999,4.290150527499229e-14,-2.862988211621
0.005,200.0,160,12712.32712995102,0.12029688334147612,9.450928926250466,-1890.0654883667514
0.01,100.0,160,12704.70752973149,0.11952895459129119,9.450923164943239,-944.9727875397325
0.02,50.0,160,12689.628902426493,0.11797974765300125,9.450899911926294,-472.4270158486617
0.05,20.0,160,12645.69176674138,0.11322270155606287,9.450732999426624,-188.9014372869764
0.1,10.0,160,12576.892220208083,0.10491140299442153,9.450107598715228,-94.39616458415786
0.2,5.0,160,12456.738490142354,0.08670762088965403,9.447358523839121,-47.15008499830595
0.5,2.0,160,12257.874986254954,0.016052775424534323,9.421950253162535,-18.827847730900537
1.0,1.0,160,12714.500718763315,-0.183190695085488,9.267307714895026,-9.450498409980513
2.0,0.5,160,22037.635058278873,-0.9931148339034068,8.014277287446788,-5.000253477626801
5.0,0.2,160,4859922.199217061,-2.2294150933085506,4.2494575208142376,-3.079306597471398
10.0,0.1,160,2781524766732.892,-2.845194622485931,0.20207414565516463,-2.8654020370514477
20.0,0.05,160,7.413647048138201e+24,-2.8632628064412486,0.00010860049556841001,-2.8632682364660273
50.0,0.02,160,1.4964859801930456e+62,-2.863267908909999,4.954531760516522e-14,-2.86326790891
0.005,200.0,254,32063.518255503583,0.4200126261569647,10.377574222995873,-2075.094831973018
0.01,100.0,254,31996.328954007928,0.41906870290153775,10.377567142042762,-1037.3376455013747
0.02,50.0,254,31862.82504912143,0.4171697724676855,10.37753864570182,-518.4597625126233
0.05,20.0,254,31469.264780111316,0.41138204243607923,10.37733572934336,-207.13533254443112
0.1,10.0,254,30836.210371305915,0.4014169649232587,10.37658663631134,-103.36444939819013
0.2,5.0,254,29653.94311414647,0.3801634238137981,10.373383069019152,-51.486751921281964
0.5,2.0,254,26751.128956509136,0.30272520946250747,10.345694560146493,-20.38866391083048
1.0,1.0,254,24071.06060075982,0.10001683433748919,10.188782427324568,-10.08876559298708
2.0,0.5,254,31826.019536401338,-0.7574351728903713,8.85316911283955,-5.184019729310147
5.0,0.2,254,5303905.714368809,-2.192734105245524,4.520283508136575,-3.096790806872839
10.0,0.1,254,2840188296689.922,-2.845166680727217,0.22322466028301344,-2.867489146755519
