qdot,S_q,Suu_q,Sud_q,Sx_q,Sc_q,q,D_q,beta,theta,M
1,0.9855823276550064,0.9856432653445284,-6.093768952211041e-05,-0.0143329743477254,-2.3760307746221877e-05,3.0936677262801355,6,0.002715053589826,200.0,38
2,0.9885784316024184,0.9885978198938908,-1.938829147249751e-05,-0.011404859501173,2.6793950638503306e-06,4.375106855981304,12,0.002715053589826,200.0,38
3,0.9914464832997766,0.9914537492815844,-7.265981807852507e-06,-0.0085523163767031,6.065658287676285e-06,5.358389683653281,8,0.002715053589826,200.0,38
4,0.9929293620019978,0.9929331159229512,-3.753920953406992e-06,-0.0070717211697325,4.837092683698113e-06,6.187335452560271,6,0.002715053589826,200.0,38
5,0.9971498759933888,0.9971503598004626,-4.838070740133099e-07,-0.0028506104834321,9.70283894872558e-07,6.917651335759596,24,0.002715053589826,200.0,38
6,0.9957793413883236,0.9957799385591684,-5.971708449992394e-07,-0.0042206598451959,5.984043644116843e-07,7.577907363102549,16,0.002715053589826,200.0,38
8,0.9971861272195328,0.9971862763459658,-1.491264329422105e-07,-0.0028137236540341,0.0,8.750213711962608,6,0.002715053589826,200.0,38
1,0.9853876349670204,0.9855103281158965,-0.0001226931488761,-0.0144419257003062,-4.7746183797372145e-05,3.0936677262801355,6,0.005430107179652,100.0,38
2,0.9885360853767644,0.9885748992560526,-3.88138792881513e-05,-0.0114305729135474,5.472169600076037e-06,4.375106855981304,12,0.005430107179652,100.0,38
3,0.9914287989186776,0.9914433343963808,-1.453547770317815e-05,-0.0085688215133422,1.2155909722870753e-05,5.358389683653281,8,0.005430107179652,100.0,38
4,0.992970960365903,0.992978409656594,-7.449290691093954e-06,-0.0070312531992694,9.66285586359106e-06,6.187335452560271,6,0.005430107179652,100.0,38
5,0.9971450272972788,0.9971459939524518,-9.666551730161962e-07,-0.0028559501325914,1.9440850432874383e-06,6.917651335759596,24,0.005430107179652,100.0,38
