q,n_q_alpha,n_q_beta,n_q,D_q,beta,theta,M,T_q
0.0,0.0536934145654812,0.0536934145654812,0.1073868291309625,1,0.002715053589826,200.0,38,0.0
3.093668,0.0530175887561617,0.0530175887561617,0.1060351775123235,6,0.002715053589826,200.0,38,3.0445186076362143
4.375107,0.0523500877414623,0.0523500877414623,0.1047001754829247,12,0.002715053589826,200.0,38,12.024748938545182
0.0,0.0547730417646265,0.0547730417646265,0.1095460835292531,1,0.005430107179652,100.0,38,0.0
3.093668,0.05340341907743,0.05340341907743,0.10680683815486,6,0.005430107179652,100.0,38,3.0666747942914396
4.375107,0.0520672036475661,0.052067203647566,0.1041344072951322,12,0.005430107179652,100.0,38,11.959770819986726
0.0,0.0569863967999955,0.0569863967999955,0.113972793599991,1,0.0108602143593041,50.0,38,0.0
3.093668,0.0541742811496642,0.0541742811496642,0.1083485622993284,6,0.0108602143593041,50.0,38,3.1109413099497054
4.375107,0.0514973263585015,0.0514973263585016,0.1029946527170031,12,0.0108602143593041,50.0,38,11.828870727505086
0.0,0.0640719733689225,0.0640719733689225,0.1281439467378451,1,0.0271505358982603,20.0,38,0.0
3.093668,0.0564756650667593,0.0564756650667593,0.1129513301335186,6,0.0271505358982603,20.0,38,3.2430975683403966
4.375107,0.0497561696858767,0.0497561696858767,0.0995123393717535,12,0.0271505358982603,20.0,38,11.428929242127143
0.0,0.0774451763983297,0.0774451763983297,0.1548903527966595,1,0.0543010717965206,10.0,38,0.0
3.093668,0.0602404063515124,0.0602404063515125,0.120480812703025,6,0.0543010717965206,10.0,38,3.4592866701700267
4.375107,0.0467593654577162,0.0467593654577162,0.0935187309154325,12,0.0543010717965206,10.0,38,10.7405671014643
0.0,0.1105214420559763,0.1105214420559763,0.2210428841119527,1,0.1086021435930413,5.0,38,0.0
3.093668,0.0672378070981214,0.0672378070981214,0.1344756141962428,6,0.1086021435930413,5.0,38,3.8611102400067905
4.375107,0.0405043096129412,0.0405043096129412,0.0810086192258825,12,0.1086021435930413,5.0,38,9.303788685705758
0.0,0.259528671231425,0.259528671231425,0.51905734246285,1,0.2715053589826032,2.0,38,0.0
3.093668,0.079142409288426,0.079142409288426,0.158284818576852,6,0.2715053589826032,2.0,38,4.544728332326708
4.375107,0.0221347394198349,0.0221347394198349,0.0442694788396698,12,0.2715053589826032,2.0,38,5.084321647331765
0.0,0.5684578876405466,0.5684578876405466,1.1369157752810932,1,0.5430107179652065,1.0,38,0.0
3.093668,0.0625157440397152,0.0625157440397152,0.1250314880794305,6,0.5430107179652065,1.0,38,3.5899472319365997
4.375107,0.0047039706767634,0.0047039706767634,0.0094079413535269,12,0.5430107179652065,1.0,38,1.080496114575935
0.0,0.9332196738975884,0.9332196738975884,1.8664393477951768,1,1.086021435930413,0.5,38,0.0
3.093668,0.0109857970312235,0.0109857970312235,0.0219715940624471,6,1.086021435930413,0.5,38,0.6308559907373683
4.375107,7.212865958920602e-05,7.212865958920599e-05,0.0001442573191784,12,1.086021435930413,0.5,38,0.0165678618747958
0.0,0.9983859126543588,0.9983859126543588,1.996771825308718,1,2.715053589826032,0.2,38,0.0
3.093668,0.0002430445639541,0.0002430445639541,0.0004860891279083,6,2.715053589826032,0.2,38,0.0139567587814404
4.375107,1.2984996814280032e-05,1.2984996814280032e-05,2.5969993628560065e-05,12,2.715053589826032,0.2,38,0.0029826373440031
0.0,0.9984204216383452,0.9984204216383452,1.9968408432766904,1,5.430107179652064,0.1,38,0.0
3.093668,0.0002372943060196,0.0002372943060196,0.0004745886120392,6,5.430107179652064,0.1,38,0.0136265520011762
