q,n_q_alpha,n_q_beta,n_q,D_q,beta,theta,M,T_q
0.0,0.2633065601093978,0.2633065601093978,0.5266131202187957,1,0.2749421356785856,1.9749999999999996,38,0.0
3.093668,0.079199680075051,0.079199680075051,0.1583993601501021,6,0.2749421356785856,1.9749999999999996,38,4.548017089504177
4.375107,0.0217912799533579,0.0217912799533579,0.0435825599067158,12,0.2749421356785856,1.9749999999999996,38,5.005429442311039
0.0,0.267199080105962,0.267199080105962,0.5343981602119241,1,0.2784670348539521,1.9499999999999995,38,0.0
3.093668,0.0792495731913072,0.0792495731913072,0.1584991463826145,6,0.2784670348539521,1.9499999999999995,38,4.550882186246572
4.375107,0.0214419567288495,0.0214419567288495,0.042883913457699,12,0.2784670348539521,1.9499999999999995,38,4.9251903394873375
0.0,0.2712106768524402,0.2712106768524402,0.5424213537048805,1,0.2820834898520554,1.9249999999999996,38,0.0
3.093668,0.0792914745587972,0.0792914745587972,0.1585829491175945,6,0.2820834898520554,1.9249999999999996,38,4.553288359292188
4.375107,0.0210867063162313,0.0210867063162313,0.0421734126324627,12,0.2820834898520554,1.9249999999999996,38,4.843589769051912
0.0,0.2753459893926261,0.2753459893926262,0.5506919787852524,1,0.2857951147185298,1.8999999999999997,38,0.0
3.093668,0.0793247261685601,0.0793247261685601,0.1586494523371203,6,0.2857951147185298,1.8999999999999997,38,4.555197822680323
4.375107,0.020725471133001,0.020725471133001,0.0414509422660021,12,0.2857951147185298,1.8999999999999997,38,4.760614504376794
0.0,0.2796098585623711,0.2796098585623711,0.5592197171247422,1,0.2896057162481102,1.8749999999999996,38,0.0
3.093668,0.0793486229711573,0.0793486229711573,0.1586972459423146,6,0.2896057162481102,1.8749999999999996,38,4.556570089165408
4.375107,0.0203582003008904,0.0203582003008904,0.0407164006017808,12,0.2896057162481102,1.8749999999999996,38,4.676252858788118
0.0,0.2840073356681744,0.2840073356681744,0.5680146713363488,1,0.2935193070082198,1.8499999999999996,38,0.0
3.093668,0.0793624095519142,0.0793624095519142,0.1587248191038285,6,0.2935193070082198,1.8499999999999996,38,4.557361779293814
4.375107,0.0199848505850283,0.0199848505850283,0.0399697011700567,12,0.2935193070082198,1.8499999999999996,38,4.590494901290703
0.0,0.2885436914699899,0.2885436914699898,0.5770873829399799,1,0.2975401194329899,1.8249999999999995,38,0.0
3.093668,0.0793652765781092,0.0793652765781092,0.1587305531562185,6,0.2975401194329899,1.8249999999999995,38,4.557526417384759
4.375107,0.0196053874217795,0.0196053874217795,0.0392107748435591,12,0.2975401194329899,1.8249999999999995,38,4.503332692661225
0.0,0.2932244254738675,0.2932244254738675,0.586448850947735,1,0.3016726210917814,1.7999999999999996,38,0.0
3.093668,0.0793563570044255,0.0793563570044255,0.1587127140088511,6,0.3016726210917814,1.7999999999999996,38,4.557014213629565
4.375107,0.0192197860416316,0.0192197860416315,0.0384395720832631,12,0.3016726210917814,1.7999999999999996,38,4.414760543374001
